Cocktail_Name,Liquor,Garnish,Glassware,Original_Source,Ingredient_1,Measurement_1,Ingredient_2,Measurement_2,Ingredient_3,Measurement_3,Ingredient_4,Measurement_4,Ingredient_5,Measurement_5,Ingredient_6,Measurement_6,Ingredient_7,Measurement_7,Ingredient_8,Measurement_8,Ingredient_9,Measurement_9,Ingredient_10,Measurement_10,Ingredient_11,Measurement_11,Ingredient_12,Measurement_12,Ingredient_13,Measurement_13,Ingredient_14,Measurement_14,Ingredient_15,Measurement_15,Instruction_1,Instruction_2,Instruction_3,Instruction_4,Instruction_5,Instruction_6,Instruction_7,Instruction_8,Instruction_9,Instruction_10,Instruction_11,Instruction_12,Instruction_13,Instruction_14,Instruction_15,Instruction_16,Instruction_17,Instruction_18,Instruction_19,Instruction_20,Instruction_21,Instruction_22,Instruction_23
Adam Bomb,Rum,N/A,Margarita/Coupette glass,N/A,Rum,1 part ,Vodka,1 part ,Tequila,1 part ,Triple sec,1/2 part ,Fruit,,Ice,,Salt,1-3 pint ,Fruit juice,,,,,,,,,,,,,,,,"1: Add ice to blender (or to glass if prefer on the rocks) then fruit, and fruite juice depending on personal prefference then add the Rum, Vodka, Tequila, and triple sec.","2: blend till smooth, rim glass with sugar or salt and pour mixture in.",3: garnish with lemon or lime slice.,,,,,,,,,,,,,,,,,,,,
Addington,Vermouth,N/A,Cocktail glass,N/A,Sweet Vermouth,2 shots ,Dry Vermouth,1 shot ,Soda Water,"Top up with
",,,,,,,,,,,,,,,,,,,,,,,,,1: Mix both the vermouth's in a shaker and strain into a cold glass.,2: Top up with a squirt of Soda Water.,,,,,,,,,,,,,,,,,,,,,
After sex,Vodka,N/A,Highball glass,N/A,Vodka,2 cl ,Creme de Banane,1 cl ,Orange juice,,,,,,,,,,,,,,,,,,,,,,,,,,1: Pour the vodka and creme over some ice cubes in a tall glass and fill up with juice.,,,,,,,,,,,,,,,,,,,,,,
Afternoon,Baileys Irish Cream,N/A,Collins Glass,N/A,Kahlua,1 cl ,Baileys irish cream,1 cl ,Frangelico,1 1/2 ,Coffee,4 cl hot ,Cream,,,,,,,,,,,,,,,,,,,,,,"1: Build into a suiting glass, with no ice.",2: Cream on top if wanted.,3: Served directly.,,,,,,,,,,,,,,,,,,,,
Alexander,Gin,N/A,Cocktail glass,N/A,Gin,1/2 oz ,Creme de Cacao,1/2 oz white ,Light cream,2 oz ,Nutmeg,,,,,,,,,,,,,,,,,,,,,,,,1: Shake all ingredients with ice and strain contents into a cocktail glass.,2: Sprinkle nutmeg on top and serve.,,,,,,,,,,,,,,,,,,,,,
Algonquin,Whiskey,N/A,Cocktail glass,N/A,Blended whiskey,1 1/2 oz ,Dry Vermouth,1 oz ,Pineapple juice,1 oz ,,,,,,,,,,,,,,,,,,,,,,,,,"1: Combine and shake all ingredients with ice, strain contents into a cocktail glass, and serve.",,,,,,,,,,,,,,,,,,,,,,
Allegheny,Vermouth,N/A,Cocktail glass,N/A,Dry Vermouth,1 oz ,Bourbon,1 oz ,Blackberry brandy,1 1/2 tsp ,Lemon juice,1 1/2 tsp ,Lemon peel,1 twist of ,,,,,,,,,,,,,,,,,,,,,1: Shake all ingredients (except lemon peel) with ice and strain into a cocktail glass.,2: Top with the twist of lemon peel and serve.,,,,,,,,,,,,,,,,,,,,,
B-52,Baileys Irish Cream,N/A,Shot glass,N/A,Baileys irish cream,1/3 ,Grand Marnier,1/3 ,Kahlua,1/4 ,,,,,,,,,,,,,,,,,,,,,,,,,1: Layer ingredients into a shot glass.,2: Serve with a stirrer.,,,,,,,,,,,,,,,,,,,,,
B-53,Other,N/A,Collins Glass,N/A,Kahlua,1/3 shot ,Sambuca,1/3 shot ,Grand Marnier,1/3 shot ,,,,,,,,,,,,,,,,,,,,,,,,,"1: Layer the Kahlua, Sambucca and Grand Marnier into a shot glas in that order.",,,,,,,,,,,,,,,,,,,,,,
Bijou,Gin,N/A,Cocktail glass,N/A,Orange Bitters,1 dash,Green Chartreuse,1 oz,Gin,1 oz,Sweet Vermouth,1 oz,,,,,,,,,,,,,,,,,,,,,,,1: Stir in mixing glass with ice and strain.,,,,,,,,,,,,,,,,,,,,,,
